FID,geom,id,descricao,tipo,extensao,fonte,ano_ref,datum_codf,data_criac
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58ab,"MULTILINESTRING ((-38.58796583263421 -3.804414880164733, -38.5873992021768 -3.804782787608952))",24,Galeria,Drenagem geral,74.943,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a8,"MULTILINESTRING ((-38.586087217189856 -3.804819173761422, -38.58556441402933 -3.805145035144721))",25,Galeria,Drenagem geral,68.342,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a7,"MULTILINESTRING ((-38.601058426744636 -3.803720054337475, -38.59493596031195 -3.797430020801527, -38.592585117818366 -3.7950106768769625))",26,Galeria,Drenagem geral,1346.605,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a6,"MULTILINESTRING ((-38.59967659910584 -3.784231129889222, -38.59989929041588 -3.785023026164415, -38.59851288942189 -3.7853998464601064))",27,Galeria,Drenagem geral,250.531,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a5,"MULTILINESTRING ((-38.60021349643963 -3.7841540950642707, -38.60037466503052 -3.784882134638321, -38.6006303893915 -3.7848552913953686, -38.60085891289438 -3.785448553254186, -38.602406698968224 -3.785327939810585, -38.60271626968181 -3.785274158781402, -38.60322758296639 -3.785517048524583))",28,Galeria,Drenagem geral,451.54,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a4,"MULTILINESTRING ((-38.59849253819935 -3.781589481118687, -38.59891002490771 -3.7814704484990016, -38.59856276846091 -3.7800849983391993, -38.5981724820379 -3.780204826858435))",29,Galeria,Drenagem geral,251.521,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a3,"MULTILINESTRING ((-38.596816460740754 -3.7753254856926075, -38.597538203345906 -3.7751639841437727, -38.59744145438908 -3.7748160715317836))",30,Galeria,Drenagem geral,122.081,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a2,"MULTILINESTRING ((-38.610611455838324 -3.7766361564003756, -38.60801517592364 -3.7774231956853304))",31,Galeria,Drenagem geral,301.239,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-58a1,"MULTILINESTRING ((-38.607844184044026 -3.780443362358049, -38.60784413402807 -3.780554692479697, -38.607163764625085 -3.7807197990530144, -38.60715135427128 -3.780855864104806))",32,Galeria,Drenagem geral,105.168,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
vw_RedeDrenagem.fid--16360be6_1884ec8b5dc_-589f,"MULTILINESTRING ((-38.47345811804825 -3.732297021190163, -38.47263807732551 -3.732678906759228, -38.47203146578426 -3.733112394543099))",33,Galeria,Drenagem geral,183.101,Seinf,2020,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,2020-11-26
