FID,id,the_geom,nome,nome_pop,fonte,anoref,epsg_codif,bairro,cod_bairro,area m2
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e5,121,"MULTIPOLYGON (((-38.5200659159292 -3.7182421032451503, -38.520005679250616 -3.71828499109311, -38.52000080379271 -3.7184492826236757, -38.520541823393785 -3.7184383076237393, -38.52049850563645 -3.7182727922623933, -38.52045310216464 -3.71808770217943, -38.52024255340244 -3.7181297040619827, -38.52023867725778 -3.71820655830383, -38.52013907820628 -3.7182332538348777, -38.5200659159292 -3.7182421032451503)))",Praça do Poço da Draga,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,1670.86
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e6,140,"MULTIPOLYGON (((-38.567700715383175 -3.7052981656930446, -38.56770426282574 -3.7052849329915185, -38.56769821605963 -3.7052351840766997, -38.56768684110816 -3.7051555931830666, -38.56769680596678 -3.705003725238507, -38.56743174460562 -3.704889693949928, -38.56747653012348 -3.7049585180575475, -38.56755017917885 -3.7050763251132226, -38.56760518038401 -3.705215278070396, -38.56762646070034 -3.7052420545768183, -38.56768340509369 -3.7053006692964487, -38.567700715383175 -3.7052981656930446)))",Praça da Rua Alves de Lima (sem denominação oficial),sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cristo Redentor,12,535.14
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e7,141,"MULTIPOLYGON (((-38.56752202231095 -3.7102776094681795, -38.567207899914855 -3.710385267042877, -38.5671781077123 -3.7104394007536294, -38.567257165219125 -3.7106523152973785, -38.5673128598353 -3.7106794852058944, -38.567617613574996 -3.710570057431832, -38.56752202231095 -3.7102776094681795)))",Praça da Rua Doutor Victor Juliano Ribeiro (sem denominação oficial),sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cristo Redentor,12,1397.1
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e8,142,"MULTIPOLYGON (((-38.559381571453144 -3.730746542754849, -38.55893018385966 -3.7306615612355465, -38.55899521317494 -3.7307217455549835, -38.55905629330576 -3.7307806941145936, -38.559120319141236 -3.7308378195095093, -38.55921285433415 -3.730940673082229, -38.55925604982855 -3.73099435189847, -38.55926629710003 -3.7309853830022335, -38.559381571453144 -3.730746542754849)))",Praça da Rua Eritides Martins,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,São Gerardo,1,723.72
vw_PracasFortaleza.fid--16360be6_188532c53aa_71e9,143,"MULTIPOLYGON (((-38.55487401444091 -3.7289649330156496, -38.554744140378624 -3.7289747307743277, -38.55483602589356 -3.729973835484257, -38.554848600142584 -3.7300050818940598, -38.554943267646664 -3.7300004929984047, -38.55495598390191 -3.729965628684393, -38.55487401444091 -3.7289649330156496)))",Praça da Rua Leiria de Andrade (sem denomincação oficial),sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,São Gerardo,1,1587.46
vw_PracasFortaleza.fid--16360be6_188532c53aa_71ea,144,"MULTIPOLYGON (((-38.57191728081101 -3.7217316136576244, -38.57193995765629 -3.721695265328025, -38.57192617257922 -3.7216514069027995, -38.57190182203102 -3.721633182504979, -38.57185920857162 -3.7216392573042874, -38.569795499608915 -3.7227813188314633, -38.5698869442024 -3.722925681554266, -38.57191728081101 -3.7217316136576244)))",Praça da Rua Luiz Guimarães (sem denominação oficial),sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Floresta,17,4097.35
vw_PracasFortaleza.fid--16360be6_188532c53aa_71eb,113,"MULTIPOLYGON (((-38.52040465098891 -3.7234700536788043, -38.519689551508506 -3.7235962744720625, -38.51965959836923 -3.7236057735642105, -38.51964971259829 -3.7236378764591227, -38.519758874242 -3.7239828013947487, -38.51979199095064 -3.7240268093290796, -38.519834495063144 -3.724058079562572, -38.51988798311302 -3.7240677225728387, -38.51991284796287 -3.7240530012911996, -38.519931174077016 -3.7240300457211295, -38.52014764150156 -3.723998276036639, -38.52052043316363 -3.7239301324950125, -38.52040465098891 -3.7234700536788043)))",Praça Cristo Redentor,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,4432.65
vw_PracasFortaleza.fid--16360be6_188532c53aa_71ec,185,"MULTIPOLYGON (((-38.54433674937023 -3.7246430059264966, -38.544367992319906 -3.7245250637914395, -38.54418756428549 -3.7244781993669203, -38.544243801594924 -3.724618011566745, -38.54433674937023 -3.7246430059264966)))",Praça do Morro do Ouro,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Jacarecanga,18,210.87
vw_PracasFortaleza.fid--16360be6_188532c53aa_71ed,186,"MULTIPOLYGON (((-38.56564343898077 -3.7108925364450793, -38.565606293210784 -3.710884452863585, -38.56535853169902 -3.710951105290841, -38.56533145909035 -3.711003070636402, -38.56540872309895 -3.71127160529339, -38.56543398308545 -3.7112874419967348, -38.56572506147289 -3.711199267770177, -38.56573569949552 -3.7111681472458065, -38.56564343898077 -3.7108925364450793)))",Praça Dr. Amauri,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cristo Redentor,12,1385.6
vw_PracasFortaleza.fid--16360be6_188532c53aa_71ee,187,"MULTIPOLYGON (((-38.563210534628475 -3.726896595700602, -38.563150441575964 -3.72688628851251, -38.563095996658156 -3.7269153648994333, -38.562804077625294 -3.727895376746206, -38.56291080919742 -3.7279326081096045, -38.563210534628475 -3.726896595700602)))",Praça Dr. Hélio Viana,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,São Gerardo,1,1417.62
vw_PracasFortaleza.fid--16360be6_188532c53aa_71ef,208,"MULTIPOLYGON (((-38.57932255997846 -3.718809894812769, -38.57933951631255 -3.718825278981699, -38.57955121642683 -3.718819408941619, -38.57951165499454 -3.718372848193865, -38.57930657991518 -3.7183909681099774, -38.57928408183529 -3.7184257641697984, -38.57932255997846 -3.718809894812769)))",Praça José Carvalho de Melo,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Floresta,17,1236.19
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f0,101,"MULTIPOLYGON (((-38.52766515490497 -3.7269117564978558, -38.52755945363122 -3.726939252487911, -38.52742719424662 -3.726985272575941, -38.527211672772445 -3.7270575024220456, -38.52718243677137 -3.72710370002429, -38.52750400937122 -3.7281197549864857, -38.5275412621921 -3.728150540700255, -38.52758857756312 -3.7281507186730507, -38.52794458065776 -3.7280432113983593, -38.52802570637409 -3.728017221720847, -38.52766515490497 -3.7269117564978558)))",Praça do Ferreira,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,7443.57
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f1,104,"MULTIPOLYGON (((-38.531996921386245 -3.726741155502959, -38.531846873027916 -3.7267085231839525, -38.531602410963984 -3.725894286811957, -38.53066808592665 -3.7262065177852954, -38.53065503214524 -3.7262106552703904, -38.53064768322429 -3.7262372951089024, -38.53065916591329 -3.726265312870101, -38.53068350921401 -3.7263107843186023, -38.53072601451299 -3.726379121184681, -38.53101933639149 -3.727365813785464, -38.53186696264311 -3.7271095196606563, -38.53189039835491 -3.7271224636305313, -38.53190159286484 -3.727129729699283, -38.531914929692654 -3.7271272946418996, -38.532102576406686 -3.727062138563944, -38.531996921386245 -3.726741155502959)))",Praça José de Alencar,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,15472.74
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f2,107,"MULTIPOLYGON (((-38.52331614676241 -3.7282330362679876, -38.52325894377677 -3.7282047507960554, -38.52320104705713 -3.7281976778213526, -38.52239109490092 -3.7284739048157642, -38.52234504268708 -3.72849950455734, -38.522343781944215 -3.728559380285858, -38.522632799512245 -3.7296023979857527, -38.522663537763314 -3.7296317445226435, -38.5227079456229 -3.7296310573989615, -38.523560045878945 -3.7293331500300027, -38.523607792377014 -3.7292982418414287, -38.523608157120606 -3.729223177472492, -38.52331614676241 -3.7282330362679876)))",Praça Filgueira de Melo,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,15095.29
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f3,109,"MULTIPOLYGON (((-38.54121831956683 -3.718067665470192, -38.54090700870738 -3.7181501980606146, -38.54090588429115 -3.7181974488420724, -38.54070315654609 -3.718244390959737, -38.54068048906532 -3.7182116159227485, -38.540352078039085 -3.7182935486122703, -38.540350593598866 -3.718340377011536, -38.54125853398283 -3.7182947067048007, -38.54124232847594 -3.7180866004230335, -38.54121831956683 -3.718067665470192)))",Praça dos Navegantes,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,1423.49
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f4,110,"MULTIPOLYGON (((-38.53574286992116 -3.7193001484032453, -38.53563072663267 -3.7193295632656542, -38.535667057963614 -3.7195268401404005, -38.5356744886706 -3.7195398001697844, -38.53568718110379 -3.7195422365767112, -38.53570533060753 -3.719536935104455, -38.53580067276596 -3.7195091627757404, -38.53574286992116 -3.7193001484032453)))",Praça do Muriçoca,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Moura Brasil,5,335.96
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f5,111,"MULTIPOLYGON (((-38.52982856696746 -3.731911529473557, -38.52942157153068 -3.7320552072278126, -38.52939486603079 -3.732077686358571, -38.52939861993419 -3.732122725122735, -38.52960641367906 -3.7327326060973367, -38.529623637581665 -3.732775820656491, -38.529646996802825 -3.732785164344964, -38.529679426260444 -3.732778104044138, -38.52969721912833 -3.7327349420194573, -38.53002921467631 -3.732629031404251, -38.53007096666687 -3.7326508488232806, -38.530105143061306 -3.732643740921831, -38.53011657977506 -3.7326087688476473, -38.530109360565305 -3.732583757682021, -38.52989168464449 -3.73195591199376, -38.52987016141073 -3.731917006088106, -38.52982856696746 -3.731911529473557)))",Praça do Carmo,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,4773.17
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f6,192,"MULTIPOLYGON (((-38.564298318382114 -3.7102009600999466, -38.564061064572215 -3.710271386482897, -38.56403108074989 -3.710323581228444, -38.56410710947385 -3.710577950688406, -38.56417139348937 -3.710603090114174, -38.56440823027153 -3.7105221818836673, -38.56442751568679 -3.710485422574183, -38.56435883480517 -3.7102247994104482, -38.564298318382114 -3.7102009600999466)))",Praça Major Wilson,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cristo Redentor,12,1387.82
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f7,264,"MULTIPOLYGON (((-38.47417254533416 -3.7508190285708762, -38.474230731480525 -3.7509954756235158, -38.474326473762765 -3.7509617652219807, -38.474269233099434 -3.750786187618431, -38.47417254533416 -3.7508190285708762)))",Praça Quadra 37,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cidade 2000,111,231.61
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f8,116,"MULTIPOLYGON (((-38.51996261578095 -3.720920112603916, -38.51944333380597 -3.7208726953982687, -38.519418228153526 -3.720893670312444, -38.51940678365051 -3.721777725941685, -38.519426981624555 -3.7217926472613487, -38.51993100261077 -3.7217973758098033, -38.51996261578095 -3.720920112603916)))",Praça Almirante Saldanha,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,5905.92
vw_PracasFortaleza.fid--16360be6_188532c53aa_71f9,148,"MULTIPOLYGON (((-38.56374660123175 -3.7204981753498814, -38.563858422332444 -3.720531985982706, -38.56394722208243 -3.7201965462639452, -38.56393430683782 -3.7201795159046958, -38.56386959177352 -3.720159605033028, -38.56384466309554 -3.720168794885256, -38.56374660123175 -3.7204981753498814)))",Praça Tenente Lisboa,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Bairro Ellery,38,488.24
vw_PracasFortaleza.fid--16360be6_188532c53aa_71fa,119,"MULTIPOLYGON (((-38.52588780540446 -3.721878761565716, -38.52523405018185 -3.722004807961153, -38.525197030466224 -3.72205694138138, -38.52495701856587 -3.722110306790615, -38.52489748626145 -3.7220825309709453, -38.524877109324166 -3.7220811725091627, -38.52439077976131 -3.7222577726476973, -38.524239706249084 -3.722337915482748, -38.52428611518312 -3.7224338356339146, -38.52441251516603 -3.722405845056968, -38.52474251417266 -3.722354684724788, -38.524764344298276 -3.722333435872944, -38.52499381720772 -3.7222799170752787, -38.525097201338625 -3.722245747153004, -38.52515044703865 -3.722223590699315, -38.52523299518218 -3.7221862847911633, -38.525319868501924 -3.7221460298221167, -38.525387217819784 -3.7221064568972437, -38.525420405914616 -3.7220853995215264, -38.52544586914795 -3.722093108014354, -38.52588780540446 -3.721878761565716)))",Praça da Vitória,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Centro,10,2888.25
vw_PracasFortaleza.fid--16360be6_188532c53aa_71fb,280,"MULTIPOLYGON (((-38.4703068632743 -3.7515363659254835, -38.470255075801546 -3.7513640477199295, -38.47017017495723 -3.751393973875148, -38.470220428233574 -3.7515635791224407, -38.4703068632743 -3.7515363659254835)))",Praça Quadra 11,sem informação,URBIFOR,2019,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8,Cidade 2000,111,197.81
